name,type,x_um,y_um,z_um
ASIL,sensory,2.65,-263.70,46.88
ASIR,sensory,-6.90,-263.70,46.88
ASJL,sensory,2.98,-263.00,37.48
ASJR,sensory,-7.25,-263.00,37.48
ASKL,sensory,3.70,-268.02,46.40
ASKR,sensory,-8.00,-268.02,46.40
AUAL,unknown,4.50,-263.98,37.48
AUAR,unknown,-8.80,-263.98,37.48
AVAL,interneuron,-0.55,-271.50,37.98
AVAR,interneuron,-3.50,-271.50,37.98
AVBL,interneuron,0.23,-269.79,37.86
AVBR,interneuron,-4.58,-269.79,37.86
AVDL,interneuron,-0.17,-268.70,37.30
AVDR,interneuron,-4.03,-268.68,37.28
AVEL,interneuron,2.75,-269.35,40.65
AVER,interneuron,-8.40,-269.35,40.65
AVFL,interneuron,2.10,-246.40,18.60
AVFR,interneuron,-6.50,-246.40,18.60
AVG,interneuron,-2.00,-237.10,12.85
AVHL,interneuron,4.15,-264.40,45.00
AVHR,interneuron,-8.90,-264.40,45.00
AVJL,interneuron,0.20,-264.90,47.55
AVJR,interneuron,-4.75,-264.90,47.55
AVKL,interneuron,1.65,-255.00,22.57
AVKR,interneuron,-4.58,-246.95,19.00
AVL,sensory,-7.50,-263.45,36.35
AVM,sensory,-20.50,-55.65,-44.60
AWAL,sensory,3.90,-265.88,42.75
AWAR,sensory,-8.20,-265.88,42.75
AWBL,sensory,5.50,-266.23,43.10
AWBR,sensory,-9.75,-266.23,43.10
AWCL,sensory,3.80,-267.95,38.95
AWCR,sensory,-8.10,-267.95,38.95
BAGL,sensory,4.67,-277.10,44.98
BAGR,sensory,-9.00,-277.10,44.98
BDUL,interneuron,15.35,-187.15,-0.20
BDUR,interneuron,-19.65,-187.15,-0.20
CANL,unknown,25.35,47.95,1.65
CANR,unknown,-27.25,47.95,1.65
CEPDL,sensory,1.35,-275.03,54.08
CEPDR,sensory,-5.62,-275.03,54.08
CEPVL,sensory,0.70,-277.12,39.92
CEPVR,sensory,-4.95,-277.12,39.92
DA1,motor,-0.75,-227.08,3.42
DA2,motor,-1.90,-190.75,-21.68
DA3,motor,-1.65,-123.65,-58.35
DA4,motor,-1.70,-32.40,-61.75
DA5,motor,-1.65,84.20,-3.15
DA6,motor,-1.65,198.68,-6.35
DA7,motor,-1.65,281.60,-24.95
DA8,motor,1.27,376.80,-10.93
DA9,motor,-4.60,376.80,-10.93
DB1,motor,-1.90,-230.35,6.85
DB2,motor,-0.20,-244.50,15.79
DB3,motor,-1.85,-195.28,-18.52
DB4,motor,-1.88,-96.28,-64.65
DB5,motor,-4.05,35.25,-30.45
DB6,motor,-1.82,178.10,-0.20
DB7,motor,-1.85,267.75,-22.62
DD1,motor,-0.90,-231.95,6.85
DD2,motor,-1.85,-156.47,-42.85
DD3,motor,-1.90,-28.60,-60.52
DD4,motor,-1.88,122.90,4.55
DD5,motor,-1.88,234.05,-15.78
DD6,motor,-1.90,365.77,-16.48
DVA,interneuron,-2.35,394.60,3.68
DVB,motor,-0.75,394.50,4.00
DVC,interneuron,-0.12,395.43,5.99
FLPL,sensory,10.88,-246.30,31.05
FLPR,sensory,-15.05,-246.30,31.05
HSNL,motor,17.45,61.05,6.95
HSNR,motor,-21.65,61.05,6.95
I1L,interneuron,2.90,-300.35,53.15
I1R,interneuron,-7.15,-300.35,53.15
I2L,interneuron,1.55,-311.65,54.45
I2R,interneuron,-5.80,-311.65,54.45
I3,interneuron,-2.05,-296.55,58.25
I4,interneuron,-2.05,-253.90,43.10
I5,interneuron,-2.10,-247.85,30.68
I6,interneuron,1.70,-251.65,43.05
IL1DL,sensory,2.83,-282.76,52.76
IL1DR,sensory,-7.06,-282.76,52.76
IL1L,sensory,3.80,-282.68,47.85
IL1R,sensory,-8.08,-282.68,47.85
